Source,Target,Weight,Type
​​​​​​wiggy_Young Miko,105 Freestyle_Young Miko,3,undirected
​​​​​​wiggy_Young Miko,Castigada_Young Miko,1,undirected
​​​​​​wiggy_Young Miko,Que Le Gusta el Flow_Snow Tha Product,2,undirected
​​​mañana_Young Miko,105 Freestyle_Young Miko,2,undirected
​​​mañana_Young Miko,Curitas_Chzter,1,undirected
​​​mañana_Young Miko,young_miko_metadata.rda,3,undirected
105 Freestyle_Young Miko,​​​​​​wiggy_Young Miko,3,undirected
105 Freestyle_Young Miko,​​​mañana_Young Miko,2,undirected
105 Freestyle_Young Miko,2seater_Young Miko,2,undirected
105 Freestyle_Young Miko,8 AM_Young Miko,2,undirected
105 Freestyle_Young Miko,AMG_Gudnana,1,undirected
105 Freestyle_Young Miko,Besties (Remix)_Young Miko,2,undirected
105 Freestyle_Young Miko,CC (Remix)_Young Miko,1,undirected
105 Freestyle_Young Miko,Chapa_Valen Etchegoyen,2,undirected
105 Freestyle_Young Miko,Hedonismo_Villano Antillano,4,undirected
105 Freestyle_Young Miko,Kachipun_Young Miko,6,undirected
105 Freestyle_Young Miko,Kilimanjaro_Young Miko,4,undirected
105 Freestyle_Young Miko,Linda_Tokischa & Rosalía,3,undirected
105 Freestyle_Young Miko,Lisa_Young Miko,3,undirected
105 Freestyle_Young Miko,Puerto Rican Mami_Young Miko,1,undirected
105 Freestyle_Young Miko,Pull Up_Young Miko,2,undirected
105 Freestyle_Young Miko,Saturno_Young Miko,2,undirected
105 Freestyle_Young Miko,Stripper X_Young Miko,2,undirected
105 Freestyle_Young Miko,Un Poquito_Young Miko,1,undirected
105 Freestyle_Young Miko,Vientitres_Gudnana,1,undirected
2seater_Young Miko,105 Freestyle_Young Miko,2,undirected
2seater_Young Miko,Kachipun_Young Miko,3,undirected
2seater_Young Miko,SALVAJE_Young Miko,1,undirected
8 AM_Young Miko,105 Freestyle_Young Miko,2,undirected
8 AM_Young Miko,SALVAJE_Young Miko,1,undirected
8 AM_Young Miko,young_miko_metadata.rda,3,undirected
Acento_Young Miko,Kilimanjaro_Young Miko,2,undirected
Acento_Young Miko,Lisa_Young Miko,1,undirected
Acento_Young Miko,Stripper X_Young Miko,6,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,AMG_Gudnana,3,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Ayer Soñé_Chzter,3,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Bien Bow_Chocolate Remix,2,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Deseándote_Nath,2,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Desperte_Chzter,3,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Es un 10_Gudnana,1,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Estás Que Te Partes_Chocolate Remix,5,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Hipnotiza_Maria Becerra,1,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Lick My Pssy_Chzter,3,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Más Allá de Mis Ojeras_Chzter,2,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Mátame Marciana_Chzter,4,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Muevas las Cachas_Chocolate Remix,2,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Pasajero_Nath,2,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Pornostar_Chocolate Remix,3,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,QLONA_KAROL G,1,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Three Now_Valen Etchegoyen,1,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,Vientitres_Gudnana,2,undirected
AKA LESBIANA SERPIENTA_SASHA SATHYA,young_miko_metadata.rda,3,undirected
Amandita_Young Miko,Aprovéchame BB_Young Miko,1,undirected
Amandita_Young Miko,FINA_Young Miko,3,undirected
Amandita_Young Miko,Kilimanjaro_Young Miko,2,undirected
AMG_Gudnana,105 Freestyle_Young Miko,1,undirected
AMG_Gudnana,AKA LESBIANA SERPIENTA_SASHA SATHYA,3,undirected
AMG_Gudnana,Como Me Gusta a Mi_Chocolate Remix,2,undirected
AMG_Gudnana,QLONA_KAROL G,2,undirected
Aprovéchame BB_Young Miko,Amandita_Young Miko,1,undirected
Aprovéchame BB_Young Miko,Chulo pt.2_Young Miko,2,undirected
Aprovéchame BB_Young Miko,COLMILLO_Young Miko,3,undirected
Aprovéchame BB_Young Miko,Kachipun_Young Miko,1,undirected
Aprovéchame BB_Young Miko,Sale el Sol_Young Miko,1,undirected
Aprovéchame BB_Young Miko,Señorita_Young Miko,2,undirected
Ayer Soñé_Chzter,AKA LESBIANA SERPIENTA_SASHA SATHYA,3,undirected
Ayer Soñé_Chzter,Estás Que Te Partes_Chocolate Remix,1,undirected
Ayer Soñé_Chzter,young_miko_metadata.rda,2,undirected
Besties (Remix)_Young Miko,105 Freestyle_Young Miko,2,undirected
Besties (Remix)_Young Miko,De Pasajero_Young Miko,5,undirected
Besties (Remix)_Young Miko,Kachipun_Young Miko,1,undirected
Bi_Young Miko,Condado_Young Miko,1,undirected
Bi_Young Miko,Hedonismo_Villano Antillano,2,undirected
Bi_Young Miko,Kachipun_Young Miko,3,undirected
Bien Bow_Chocolate Remix,AKA LESBIANA SERPIENTA_SASHA SATHYA,2,undirected
Bien Bow_Chocolate Remix,Hedonismo_Villano Antillano,1,undirected
Bien Bow_Chocolate Remix,young_miko_metadata.rda,3,undirected
Big Booty_Young Miko,Brinca_Young Miko,2,undirected
Big Booty_Young Miko,FINA_Young Miko,1,undirected
Big Booty_Young Miko,Kilimanjaro_Young Miko,3,undirected
Big Booty_Young Miko,Señorita_Young Miko,1,undirected
Bilingue_Snow Tha Product,Hedonismo_Villano Antillano,2,undirected
Bilingue_Snow Tha Product,Muñekita_Kali Uchis,3,undirected
Bilingue_Snow Tha Product,young_miko_metadata.rda,1,undirected
Brinca_Young Miko,Big Booty_Young Miko,2,undirected
Brinca_Young Miko,CC (Remix)_Young Miko,2,undirected
Brinca_Young Miko,Chulo pt.2_Young Miko,6,undirected
Brinca_Young Miko,Classy 101_Young Miko,3,undirected
Brinca_Young Miko,COLMILLO_Young Miko,2,undirected
Brinca_Young Miko,De Pasajero_Young Miko,1,undirected
Brinca_Young Miko,FINA_Young Miko,3,undirected
Brinca_Young Miko,Kachipun_Young Miko,2,undirected
Brinca_Young Miko,Lisa_Young Miko,2,undirected
Brinca_Young Miko,Riri_Young Miko,2,undirected
Brinca_Young Miko,SALVAJE_Young Miko,1,undirected
Brinca_Young Miko,Tempo_Young Miko,1,undirected
Butter_Snow Tha Product,Muñekita_Kali Uchis,1,undirected
Butter_Snow Tha Product,Trending_Young Miko,3,undirected
Butter_Snow Tha Product,young_miko_metadata.rda,3,undirected
Castigada_Young Miko,​​​​​​wiggy_Young Miko,1,undirected
Castigada_Young Miko,Chulo pt.2_Young Miko,3,undirected
Castigada_Young Miko,Kachipun_Young Miko,2,undirected
Castigada_Young Miko,Peli-culeo_Cazzu,1,undirected
CC (Remix)_Young Miko,105 Freestyle_Young Miko,1,undirected
CC (Remix)_Young Miko,Brinca_Young Miko,2,undirected
CC (Remix)_Young Miko,Kachipun_Young Miko,3,undirected
Chapa_Valen Etchegoyen,105 Freestyle_Young Miko,2,undirected
Chapa_Valen Etchegoyen,Estás Que Te Partes_Chocolate Remix,1,undirected
Chapa_Valen Etchegoyen,Kachipun_Young Miko,3,undirected
Chulo pt.2_Young Miko,Aprovéchame BB_Young Miko,2,undirected
Chulo pt.2_Young Miko,Brinca_Young Miko,6,undirected
Chulo pt.2_Young Miko,Castigada_Young Miko,3,undirected
Chulo pt.2_Young Miko,Classy 101_Young Miko,2,undirected
Chulo pt.2_Young Miko,COLMILLO_Young Miko,3,undirected
Chulo pt.2_Young Miko,Condado_Young Miko,1,undirected
Chulo pt.2_Young Miko,DISPO_Young Miko,1,undirected
Chulo pt.2_Young Miko,FINA_Young Miko,1,undirected
Chulo pt.2_Young Miko,ID_Young Miko,5,undirected
Chulo pt.2_Young Miko,Kachipun_Young Miko,1,undirected
Chulo pt.2_Young Miko,Labios Mordidos_Kali Uchis & KAROL G,2,undirected
Chulo pt.2_Young Miko,Peli-culeo_Cazzu,1,undirected
Chulo pt.2_Young Miko,Piña_Snow Tha Product,2,undirected
Chulo pt.2_Young Miko,Pretty Bad Bitch_Young Miko,1,undirected
Chulo pt.2_Young Miko,Un Poquito_Young Miko,3,undirected
Classy 101_Young Miko,Brinca_Young Miko,3,undirected
Classy 101_Young Miko,Chulo pt.2_Young Miko,2,undirected
Classy 101_Young Miko,COLMILLO_Young Miko,1,undirected
COLMILLO_Young Miko,Aprovéchame BB_Young Miko,3,undirected
COLMILLO_Young Miko,Brinca_Young Miko,2,undirected
COLMILLO_Young Miko,Chulo pt.2_Young Miko,3,undirected
COLMILLO_Young Miko,Classy 101_Young Miko,1,undirected
COLMILLO_Young Miko,Deseándote_Nath,4,undirected
COLMILLO_Young Miko,Labios Mordidos_Kali Uchis & KAROL G,1,undirected
COLMILLO_Young Miko,Que Le Gusta el Flow_Snow Tha Product,1,undirected
COLMILLO_Young Miko,Señorita_Young Miko,3,undirected
Como Me Gusta a Mi_Chocolate Remix,AMG_Gudnana,2,undirected
Como Me Gusta a Mi_Chocolate Remix,Estás Que Te Partes_Chocolate Remix,3,undirected
Como Me Gusta a Mi_Chocolate Remix,Hedonismo_Villano Antillano,2,undirected
Como Me Gusta a Mi_Chocolate Remix,Pornostar_Chocolate Remix,1,undirected
Condado_Young Miko,Bi_Young Miko,1,undirected
Condado_Young Miko,Chulo pt.2_Young Miko,1,undirected
Condado_Young Miko,DISPO_Young Miko,3,undirected
Condado_Young Miko,Kachipun_Young Miko,5,undirected
Condado_Young Miko,Lisa_Young Miko,1,undirected
Condado_Young Miko,Peli-culeo_Cazzu,4,undirected
Condado_Young Miko,Putero_Young Miko,1,undirected
Condado_Young Miko,Riri_Young Miko,1,undirected
CONTIGO_KAROL G,Hedonismo_Villano Antillano,2,undirected
CONTIGO_KAROL G,Mátame Marciana_Chzter,1,undirected
CONTIGO_KAROL G,young_miko_metadata.rda,3,undirected
corpus_metadata.rda,Pull Up_Young Miko,1,undirected
corpus_metadata.rda,Three Now_Valen Etchegoyen,2,undirected
corpus_metadata.rda,young_miko_metadata.rda,6,undirected
Cuando Te Toca_Young Miko,Deseándote_Nath,2,undirected
Cuando Te Toca_Young Miko,ID_Young Miko,1,undirected
Cuando Te Toca_Young Miko,Kachipun_Young Miko,3,undirected
Curitas_Chzter,​​​mañana_Young Miko,1,undirected
Curitas_Chzter,En Esta Boca_Young Miko,2,undirected
Curitas_Chzter,Mátame Marciana_Chzter,1,undirected
Curitas_Chzter,young_miko_metadata.rda,3,undirected
Dándote_Cazzu,Estás Que Te Partes_Chocolate Remix,5,undirected
Dándote_Cazzu,Kachipun_Young Miko,2,undirected
Dándote_Cazzu,Mátame Marciana_Chzter,1,undirected
Dándote_Cazzu,Sale el Sol_Young Miko,2,undirected
De Pasajero_Young Miko,Besties (Remix)_Young Miko,5,undirected
De Pasajero_Young Miko,Brinca_Young Miko,1,undirected
De Pasajero_Young Miko,Kachipun_Young Miko,3,undirected
De Pasajero_Young Miko,Pretty Bad Bitch_Young Miko,2,undirected
De Pasajero_Young Miko,Puerto Rican Mami_Young Miko,2,undirected
De Pasajero_Young Miko,Standard_Young Miko,3,undirected
Deseándote_Nath,AKA LESBIANA SERPIENTA_SASHA SATHYA,2,undirected
Deseándote_Nath,COLMILLO_Young Miko,4,undirected
Deseándote_Nath,Cuando Te Toca_Young Miko,2,undirected
Deseándote_Nath,Hedonismo_Villano Antillano,1,undirected
Deseándote_Nath,Mariposa_Isabella Lovestory,2,undirected
Deseándote_Nath,Sale el Sol_Young Miko,3,undirected
Desperte_Chzter,AKA LESBIANA SERPIENTA_SASHA SATHYA,3,undirected
Desperte_Chzter,Kachipun_Young Miko,2,undirected
Desperte_Chzter,Pornostar_Chocolate Remix,1,undirected
Dime Como Hago_Maria Becerra,Estás Que Te Partes_Chocolate Remix,3,undirected
Dime Como Hago_Maria Becerra,Three Now_Valen Etchegoyen,2,undirected
Dime Como Hago_Maria Becerra,young_miko_metadata.rda,1,undirected
DISPO_Young Miko,Chulo pt.2_Young Miko,1,undirected
DISPO_Young Miko,Condado_Young Miko,3,undirected
DISPO_Young Miko,Peli-culeo_Cazzu,2,undirected
En Esta Boca_Young Miko,Curitas_Chzter,2,undirected
En Esta Boca_Young Miko,Estás Que Te Partes_Chocolate Remix,2,undirected
En Esta Boca_Young Miko,INSPIRADORA_Maria Becerra,3,undirected
En Esta Boca_Young Miko,Mátame Marciana_Chzter,1,undirected
En Esta Boca_Young Miko,Me Doy Cuenta_Valen Etchegoyen,1,undirected
En Esta Boca_Young Miko,No Intentes Regresar_Valen Etchegoyen,1,undirected
En Esta Boca_Young Miko,Pasajero_Nath,1,undirected
En Esta Boca_Young Miko,Three Now_Valen Etchegoyen,5,undirected
Es un 10_Gudnana,AKA LESBIANA SERPIENTA_SASHA SATHYA,1,undirected
Es un 10_Gudnana,Hedonismo_Villano Antillano,2,undirected
Es un 10_Gudnana,Pasajero_Nath,3,undirected
Estás Que Te Partes_Chocolate Remix,AKA LESBIANA SERPIENTA_SASHA SATHYA,5,undirected
Estás Que Te Partes_Chocolate Remix,Ayer Soñé_Chzter,1,undirected
Estás Que Te Partes_Chocolate Remix,Chapa_Valen Etchegoyen,1,undirected
Estás Que Te Partes_Chocolate Remix,Como Me Gusta a Mi_Chocolate Remix,3,undirected
Estás Que Te Partes_Chocolate Remix,Dándote_Cazzu,5,undirected
Estás Que Te Partes_Chocolate Remix,Dime Como Hago_Maria Becerra,3,undirected
Estás Que Te Partes_Chocolate Remix,En Esta Boca_Young Miko,2,undirected
Estás Que Te Partes_Chocolate Remix,Hedonismo_Villano Antillano,1,undirected
Estás Que Te Partes_Chocolate Remix,Mátame Marciana_Chzter,2,undirected
Estás Que Te Partes_Chocolate Remix,Muevas las Cachas_Chocolate Remix,1,undirected
Estás Que Te Partes_Chocolate Remix,Pornostar_Chocolate Remix,1,undirected
FINA_Young Miko,Amandita_Young Miko,3,undirected
FINA_Young Miko,Big Booty_Young Miko,1,undirected
FINA_Young Miko,Brinca_Young Miko,3,undirected
FINA_Young Miko,Chulo pt.2_Young Miko,1,undirected
FINA_Young Miko,Kachipun_Young Miko,3,undirected
FINA_Young Miko,KLKNTOKI_Nath,3,undirected
FINA_Young Miko,SALVAJE_Young Miko,2,undirected
Hedonismo_Villano Antillano,105 Freestyle_Young Miko,4,undirected
Hedonismo_Villano Antillano,Bi_Young Miko,2,undirected
Hedonismo_Villano Antillano,Bien Bow_Chocolate Remix,1,undirected
Hedonismo_Villano Antillano,Bilingue_Snow Tha Product,2,undirected
Hedonismo_Villano Antillano,Como Me Gusta a Mi_Chocolate Remix,2,undirected
Hedonismo_Villano Antillano,CONTIGO_KAROL G,2,undirected
Hedonismo_Villano Antillano,Deseándote_Nath,1,undirected
Hedonismo_Villano Antillano,Es un 10_Gudnana,2,undirected
Hedonismo_Villano Antillano,Estás Que Te Partes_Chocolate Remix,1,undirected
Hedonismo_Villano Antillano,Kachipun_Young Miko,4,undirected
Hedonismo_Villano Antillano,Linda_Tokischa & Rosalía,1,undirected
Hedonismo_Villano Antillano,Muñekita_Kali Uchis,2,undirected
Hedonismo_Villano Antillano,Nieve_Snow Tha Product,1,undirected
Hedonismo_Villano Antillano,Que Le Gusta el Flow_Snow Tha Product,3,undirected
Hipnotiza_Maria Becerra,AKA LESBIANA SERPIENTA_SASHA SATHYA,1,undirected
